,loss
0,2451.06201171875
1,522.5299682617188
2,55.04528045654297
3,-131.27206420898438
4,-224.7298583984375
5,-278.25018310546875
6,-311.6612243652344
7,-333.82745361328125
8,-349.2206726074219
9,-360.3033752441406
10,-368.5242004394531
11,-374.78131103515625
12,-379.65496826171875
13,-383.5325622558594
14,-386.6811218261719
15,-389.28857421875
16,-391.4897155761719
17,-393.3835754394531
18,-395.04266357421875
19,-396.52252197265625
20,-397.8642272949219
21,-399.10015869140625
22,-400.2551574707031
23,-401.3478698730469
24,-402.3937072753906
25,-403.4041442871094
26,-404.3883056640625
27,-405.3543395996094
28,-406.3069152832031
29,-407.2513427734375
30,-408.1910095214844
31,-409.1291198730469
32,-410.0675354003906
33,-411.008544921875
34,-411.953369140625
35,-412.90325927734375
36,-413.8594055175781
37,-414.8219299316406
38,-415.79168701171875
39,-416.7691650390625
40,-417.75469970703125
41,-418.7484436035156
42,-419.75048828125
43,-420.76104736328125
44,-421.7801513671875
45,-422.807861328125
46,-423.844482421875
47,-424.88934326171875
48,-425.9432678222656
49,-427.0059509277344
50,-428.07720947265625
51,-429.1572265625
52,-430.24603271484375
53,-431.3435363769531
54,-432.4495544433594
55,-433.5645446777344
56,-434.6884460449219
57,-435.82122802734375
58,-436.9623718261719
59,-438.11279296875
60,-439.2720642089844
61,-440.4405822753906
62,-441.6176452636719
63,-442.8044128417969
64,-444.0003967285156
65,-445.20538330078125
66,-446.42010498046875
67,-447.6446228027344
68,-448.8784484863281
69,-450.1222229003906
70,-451.3763732910156
71,-452.6403503417969
72,-453.9147033691406
73,-455.1999206542969
74,-456.4950256347656
75,-457.8014831542969
76,-459.1191101074219
77,-460.4485778808594
78,-461.7889709472656
79,-463.1412658691406
80,-464.5061340332031
81,-465.8830261230469
82,-467.2729187011719
83,-468.6758117675781
84,-470.0917053222656
85,-471.5218200683594
86,-472.9665832519531
87,-474.4250793457031
88,-475.8990173339844
89,-477.3880920410156
90,-478.8933410644531
91,-480.4147033691406
92,-481.9523620605469
93,-483.5086364746094
94,-485.0820617675781
95,-486.6744079589844
96,-488.2856140136719
97,-489.9183654785156
98,-491.5697326660156
99,-493.2434387207031
100,-494.9397277832031
101,-496.6581726074219
102,-498.4014587402344
103,-500.1703186035156
104,-501.9651794433594
105,-503.7852478027344
106,-505.6346130371094
107,-507.5144958496094
108,-509.4225158691406
109,-511.3655090332031
110,-513.3418579101562
111,-515.3524169921875
112,-517.4021606445312
113,-519.4910888671875
114,-521.61767578125
115,-523.787841796875
116,-526.0091552734375
117,-528.2713012695312
118,-530.5868530273438
119,-532.9459228515625
120,-535.374755859375
121,-537.8536987304688
122,-540.3998413085938
123,-543.0109252929688
124,-545.709228515625
125,-548.4434814453125
126,-551.26171875
127,-554.1498413085938
128,-557.1373901367188
129,-560.10693359375
130,-563.2774047851562
131,-566.4678344726562
132,-569.8191528320312
133,-573.0919189453125
134,-576.7139282226562
135,-580.1223754882812
136,-583.7648315429688
137,-587.6400756835938
138,-591.2175903320312
139,-594.9381713867188
140,-597.239013671875
141,-599.2168579101562
142,-604.1773071289062
143,-606.602783203125
144,-576.7549438476562
145,-608.2757568359375
146,-608.4241943359375
147,-607.1550903320312
148,-606.4409790039062
149,-603.4327392578125
150,-607.517333984375
151,-610.0322875976562
152,-611.7265014648438
153,-611.3978881835938
154,-613.1316528320312
155,-613.5292358398438
156,-614.3795166015625
157,-615.2391967773438
158,-616.0863037109375
159,-616.7860107421875
160,-617.2442016601562
161,-618.829345703125
162,-620.1876220703125
163,-621.3594970703125
164,-622.654296875
165,-623.8253784179688
166,-625.21337890625
167,-626.3606567382812
168,-627.3838500976562
169,-628.5132446289062
170,-629.062744140625
171,-630.0313720703125
172,-631.108154296875
173,-631.8609619140625
174,-632.6353149414062
175,-633.5360717773438
176,-634.5186767578125
177,-635.406982421875
178,-636.2420043945312
179,-637.0252075195312
180,-637.8231201171875
181,-638.48828125
182,-639.1512451171875
183,-639.8187866210938
184,-640.457275390625
185,-641.0783081054688
186,-641.7048950195312
187,-642.318115234375
188,-642.9558715820312
189,-643.4566040039062
190,-644.026123046875
191,-644.5776977539062
192,-645.12646484375
193,-645.5797729492188
194,-646.0343627929688
195,-646.522705078125
196,-647.0005493164062
197,-647.47314453125
198,-647.98828125
199,-648.335693359375
200,-648.88671875
201,-649.2653198242188
202,-649.6824340820312
