,loss
0,2432.43994140625
1,670.3033447265625
2,242.09788513183594
3,72.29087829589844
4,-12.196380615234375
5,-60.094757080078125
6,-89.64816284179688
7,-108.99850463867188
8,-122.24249267578125
9,-131.62899780273438
10,-138.4749755859375
11,-143.5950927734375
12,-147.51181030273438
13,-150.57318115234375
14,-153.01693725585938
15,-155.01016235351562
16,-156.6705322265625
17,-158.0850830078125
18,-159.3160400390625
19,-160.41140747070312
20,-161.40579223632812
21,-162.32568359375
22,-163.19216918945312
23,-164.02020263671875
24,-164.8214111328125
25,-165.60549926757812
26,-166.37911987304688
27,-167.14764404296875
28,-167.9151611328125
29,-168.68524169921875
30,-169.4591064453125
31,-170.24020385742188
32,-171.02810668945312
33,-171.82504272460938
34,-172.63067626953125
35,-173.44607543945312
36,-174.27096557617188
37,-175.10574340820312
38,-175.95050048828125
39,-176.804931640625
40,-177.66937255859375
41,-178.5430908203125
42,-179.42623901367188
43,-180.31842041015625
44,-181.21957397460938
45,-182.12930297851562
46,-183.0478515625
47,-183.97451782226562
48,-184.9095458984375
49,-185.85263061523438
50,-186.80331420898438
51,-187.76193237304688
52,-188.72802734375
53,-189.70162963867188
54,-190.68267822265625
55,-191.67108154296875
56,-192.66644287109375
57,-193.66888427734375
58,-194.67864990234375
59,-195.6953125
60,-196.71908569335938
61,-197.75018310546875
62,-198.78811645507812
63,-199.83303833007812
64,-200.88510131835938
65,-201.94473266601562
66,-203.01129150390625
67,-204.08505249023438
68,-205.16622924804688
69,-206.25503540039062
70,-207.35122680664062
71,-208.45535278320312
72,-209.56674194335938
73,-210.68643188476562
74,-211.81393432617188
75,-212.94985961914062
76,-214.09384155273438
77,-215.24642944335938
78,-216.40756225585938
79,-217.57803344726562
80,-218.75698852539062
81,-219.94540405273438
82,-221.14315795898438
83,-222.35098266601562
84,-223.56832885742188
85,-224.79580688476562
86,-226.03402709960938
87,-227.28286743164062
88,-228.54257202148438
89,-229.81369018554688
90,-231.09652709960938
91,-232.39126586914062
92,-233.69821166992188
93,-235.01779174804688
94,-236.35018920898438
95,-237.69650268554688
96,-239.05673217773438
97,-240.43118286132812
98,-241.82003784179688
99,-243.22506713867188
100,-244.64547729492188
101,-246.08187866210938
102,-247.53555297851562
103,-249.00711059570312
104,-250.49697875976562
105,-252.00491333007812
106,-253.53335571289062
107,-255.08181762695312
108,-256.6514587402344
109,-258.2433776855469
110,-259.8581237792969
111,-261.4969787597656
112,-263.1608581542969
113,-264.8509826660156
114,-266.5679626464844
115,-268.3135070800781
116,-270.0888977050781
